,A,B,C,D,E
Direction ‚ True,209.40630048465266,183.41235864297255,183.58892481810832,198.32659660468877,223.95636363636365
Wind Speed,1.2903069466882062,1.2421243941841686,1.3714632174616024,1.5816491511721917,0.5962424242424244
Crosswind Speed,0.9649434571890154,0.8356219709208397,0.9632983023443815,1.2105092966855282,0.43850505050505023
Headwind Speed,0.16352988691437784,-0.12980613893376414,-0.26289409862570745,-0.300565885206144,0.19494949494949476
Temperature,17.969103392568652,18.065428109854604,17.913136620856882,17.99636216653193,18.353939393939395
Globe Temperature,21.544588045234246,21.799434571890156,21.587388843977312,21.35929668552949,21.17616161616159
Wind Chill,17.838206785137345,17.94592084006461,17.772999191592564,17.83536782538397,18.294020202020192
Relative Humidity,78.18477382875601,77.87831179321493,77.96285367825398,77.942037186742,76.79305050505036
Heat Stress Index,17.899596122778664,18.004281098546024,17.828253839935364,17.921624898949098,18.28642424242426
Dew Point,13.553877221324706,13.530856219709221,13.458124494745366,13.508609539207754,13.558787878787866
Psychro Wet Bulb Temperature,15.270718901453922,15.295516962843259,15.196645109135003,15.260185933710556,15.406666666666647
Station Pressure,1016.168255250404,1016.6570274636506,1016.6893290218281,1016.7280113177055,1016.1661010101001
Barometric Pressure,1016.1284329563692,1016.6164781906178,1016.6518997574651,1016.6888843977252,1016.127797979786
Altitude,-25.98707592891761,-30.05815831987076,-30.338722716248988,-30.653193209377527,-25.96121212121212
Density Altitude,137.31663974151857,135.58077544426493,129.62287793047696,132.41107518189168,150.84
NA Wet Bulb Temperature,15.981542810985415,15.996809369951551,15.9342360549717,15.915642683912703,15.936888888888825
WBGT,17.25432148626817,17.321970920840037,17.22502021018598,17.17679870654811,17.185535353535325
TWL,301.39293214862704,299.45169628432944,301.8997574777687,305.2545675020211,284.11531313131275
Direction ‚ Mag,208.90508885298868,183.2172859450727,183.08367016976555,197.8261924009701,223.89656565656566
