,A,B,C,D,E
Direction ‚ True,10108.940307762598,9977.217770434576,7703.363096053379,8133.890056588524,9308.285079738374
Wind Speed,1.2511544916042505,1.3015015861359966,1.4309200578862846,1.7398167696980282,0.5112267803336528
Crosswind Speed,0.9265927644783849,0.8785851079453659,1.042574802204963,1.4515029350126067,0.3159419841094856
Headwind Speed,1.0349401005205512,1.2567193159380554,1.2717321788329332,1.2325027123981844,0.31907310779582476
Temperature,15.86426925637632,16.62906692775905,16.104538236887212,16.105591289728597,19.04313221136172
Globe Temperature,68.19135251709345,66.0493168518791,67.94130470357125,61.20225280074115,63.215502641614215
Wind Chill,16.26444672247513,17.035825777973624,16.54112266316147,16.55685212910586,19.13706204486258
Relative Humidity,376.010058979128,408.6230082195135,374.6226430461113,389.8560404903272,406.49446259849935
Heat Stress Index,14.99684832166575,15.43915742236583,15.356253561095219,15.11764377998633,18.475240038215595
Dew Point,9.7234718297678,9.636518216086568,10.084149493593051,10.071882982941764,9.422585433967793
Psychro Wet Bulb Temperature,6.944027119335519,6.770262722540444,7.239313446989791,7.04440287685827,6.997445432497975
Station Pressure,38.471266611183914,36.841934433182345,37.69149142182734,34.9877835890331,38.93991344977616
Barometric Pressure,38.46795083631525,36.82886775346614,37.67562315856924,34.95232685844499,38.935176838716906
Altitude,2663.641045022117,2545.7081313947238,2608.534634194818,2419.7235906888973,2692.353385757339
Density Altitude,26510.044345229333,26863.31024036814,26986.602970120937,26516.125732527278,29714.927502021066
NA Wet Bulb Temperature,10.0121076793786,9.809254462231314,10.480279096701942,9.987434139964662,9.432183526452913
WBGT,16.135258084887642,15.835355467436877,16.546745349369044,15.50718489517023,15.489871530176462
TWL,814.7665641667089,790.0692213638761,766.5335138918281,616.0098072734472,1289.9133830365104
Direction ‚ Mag,10105.677048840602,9975.446909156193,7704.620169945367,8135.315512629372,9268.007890383225
